	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12	Y13	Y14	Y15	SRR1646026	SRR1646027	SRR1646028	SRR1646029	SRR1646034	SRR1646035	SRR1646036	SRR1646037	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44	HC02	HC07	HC09	HC11	HC12	HC53	HC61	HC64	HC67	HC70	HC72	HC74	SRS012849_HMP	SRS012969_HMP	SRS013951_HMP	SRS014287_HMP	SRS014459_HMP	SRS016095_HMP	SRS016438_HMP	SRS017247_HMP	SRS017916_HMP	SRS022071_HMP	SRS023346_HMP	SRS043667_HMP	SRS045528_HMP	SRS045645_HMP	SRS045739_HMP	SRS047014_HMP	SRS047044_HMP	SRS049959_HMP	SRS053649_HMP	SRS074964_HMP	SRS075078_HMP	SRS075341_HMP	SRS075963_HMP	SRS077335_HMP	SRS077753_HMP	SRS077849_HMP	SRS078242_HMP	SRS078419_HMP	SRS078665_HMP	SRS098571_HMP	SRS098717_HMP	SRS101376_HMP	SRS104197_HMP	SRS104400_HMP	SRS140492_HMP	SRS140513_HMP	SRS142712_HMP	SRS142890_HMP	SRS143991_HMP	SRS145497_HMP	SRS146813_HMP	SRS147445_HMP	SRS147919_HMP	SRS148424_HMP
Acidobacteria	0.117381473983465	0.00174735566842179	0.0121778363378651	0.0117932186007421	0.00201770536457414	0.00448056323215996	0.00377975374904325	0.0115966255614759	0.0379794910748196	0.00198647815356856	0.0669565810275838	0.0282439684262163	0.0193727532987494	0.00525430853299706	0.12736988853069	0.099009900990099	0.0475059382422803	0.0296789724480206	0.035329447094153	0	0	0	0.0444919024737498	0.0640768842221475	0.0739004606806355	0.0475068306723803	0.0212198582669928	0.0842034108599721	0.0898259263535824	0.161019876509449	0.0285478726505051	0.0187622135457204	0.0542003731726843	0.00815343940476465	0.0597101942423551	0.0522118733630242	0.166646682613264	0.0668804113992258	0.138047034077637	0.0480115490024605	0.0996857509119368	0.0311988027217896	0.0467209285169794	0.0541861703378831	0.0286052334248564	0.0262918589309103	0.0766263552960801	0.096794939101218	0.138633751016838	0.0593887000024986	0.0511281883866466	0.207337886311564	0.234657510998551	0.181540453264336	0.0861425918050406	0.169883137877772	0.0545827581738956	0.0631874816157112	0.070103634053064	0.0108880413585193	0.00960880370976981	0.0162760366895046	0.00387749089239429	0.00627836998441428	0.0027842859298361	0.000603134197019998	0.000386981692521381	0.0120086038065054	0.0101830319583554	0	0.00547922942627802	0.00241432218407068	0.00193056764484543	0.00137707541347443	0.00322874921928844	0.00560276459893188	0.0235294625258073	0.00254758365868416	0.00191374879410429	0.00686495822591883	0.00585666643635843	0.00471106760643741	0.00108378404721996	0.00324995079063756	0.00627280249265606	0.00729945303683414	0.00791085526424875	0.00322641547005723	0.00576758628847087	0.00499872175242577	0.00687035886343476	0.00560088190859837	0.0110269252196823	0.00937317450183313	0.00219891689733376	0.0022039046528263	0.00738660930096474	0.0119362802854234	0.00194259248078609	0.00719895800334131	0.0032314555332252	0.00242120786754296	0.00981945058797402
Actinobacteria	8.29608935276851	0.850379758631937	1.92509632468907	1.15869616762692	0.255239728618628	0.146590502727649	0.42994698895367	0.774388906301779	7.38948793738338	0.109504608215467	6.88140002642042	9.11090960443579	1.20972081709968	8.89029003783102	9.53302822795315	9.96039603960396	3.19873317498021	1.32730960114759	1.94311959017841	6.00706713780919	0.871459694989107	2.27272727272727	2.69620928990924	4.28558126074368	4.47196383666402	2.62205978429895	46.8411502923353	6.08927463626468	4.34932039666522	7.30031736208063	4.10076699506158	4.82717725026425	3.37797076710141	1.23790267094922	10.678100825702	3.01856192575129	7.731999617932	4.04845529614004	6.3709614431001	7.82307205526434	5.15168222549577	1.94875494660989	2.53306120441636	29.0706451661189	1.80069431770879	2.04824952386925	4.40482809748865	12.0727897942041	17.0758208225603	5.73917789894696	3.15198372189029	10.9869779675924	12.3510136943382	27.2809457707492	4.81352302819743	9.26055858398164	6.46637345013023	9.68202897182347	12.0827342207161	1.46016913903138	1.16025183319781	2.00222772996304	0.359514751557371	0.481383175390496	0.191663021014084	0.0909422458345621	0.0834106085640299	1.88532566625656	3.61418107198096	0.0176937286348227	0.459557464894738	0.549783170327511	0.26631833729882	0.200734708264396	0.358919243213327	0.31471906144761	1.15919277835347	0.132980828116126	0.15483292730985	0.670841286738597	0.379892919008819	1.15905349417267	0.287313456841517	0.432029454883243	0.911131594348083	0.512825598070814	0.850580568635593	0.356284850283339	0.582192616864777	1.14876360380726	1.27713705735757	0.412377986688257	0.803060825545493	4.93857712548673	0.205276079368483	0.181684179521123	1.51748694866857	1.66585667978747	0.198740977187824	0.494468482344444	0.314852781893882	0.383910520020408	0.765231051628635
Aquificae	0.00620570386146996	0.025045431247379	0.00359345990297658	0.0020152968494939	0.0635577189840853	0.0297577029758548	0.0623659368592136	0.0101066566425866	0.00330256444128866	0.0193405720229383	0.0044211584926726	0.00891914792406832	0.0538132036076372	0	0.00637439664565083	0.0396039603960396	0.0316706254948535	0.0189615657306798	0.0529941706412295	0	0	0	0.0444919024737498	0.0181545589380052	0.0467159837212403	0.0167818505538637	0.00393594145274866	0.0575743565132911	0.0279723464082369	0.0814094906374588	0.0223519516318424	0.00846139042257977	0.0129790165643401	0.00722301689010682	0.0666998630783477	0.0290289952288629	0.032042227998404	0.0575346770552292	0.0816475550235497	0.0282448429741304	0.0211661525908907	0.0142574019320497	0.040917697395923	0.0241635250520157	0.0336290916249208	0.0119915686867061	0.0287855620424428	0.0200152246955061	0.0303619372061671	0.0128771614892149	0.015977558870827	0.0432872980730259	0.0561350374016005	0.0377750842145992	0.0138589027825144	0.0251869100030584	0.0251998902223406	0.0157968704039278	0.0207327768795232	0.00169230676304102	0.00524850622802552	0.0156415082511632	0.0016688720800865	0.00190199770196016	0.00220073728100767	0.000338839436528088	0.000261930839916219	0.00154139037348936	0.00225150689256244	0	0.000602839107940159	0.000649752185090761	0.000555089217122576	0.000170877971015075	0.0015038796363619	0.00358292736127347	0.00865096070248965	0.000949645996030378	0.000153293537470411	0.00107084086997891	0.00368981552310403	0.00157035586881247	0.000558033488143045	0.000693360879828732	0.00326767065574086	0.000881443385579972	0.00133520226743525	0.00647083549072861	0.00159857206056247	0.000436413075812794	0.000713474273113678	0.000813335037170353	0.00203533812476152	0.00101797216811889	0.000397578854872586	0.000114401157551289	0.00174254790100816	0.00188320199224569	0.000456694970173557	0.00154036059841609	0.000350398792759359	0.000349475199645353	0.00642830966395629
Armatimonadetes	0.0316725074439174	0.00291225944736965	0.00159709329021181	0.00261242184193654	0.00504426341143535	0.00262070679616903	0.000944938437260812	0.00630095289795364	0.00990769332386598	0.000331079692261426	0.0135830772967652	0.00743262327005693	0	0	0.0301013174933512	0.0198019801980198	0.0158353127474268	0.00329766360533562	0.0176647235470765	0	0	0	0	0.0472956406281611	0.0286869005564601	0.00989377756533755	0.0088253097170327	0.0261169571477064	0.0299781154336337	0.0169115847954058	0.00672890347188101	0.0135888090753931	0.0475205059809039	0.00170169380970313	0.00996976020017545	0.0229812878895164	0.0747877795142452	0.0315418534109886	0.0246123330493682	0.0202819519200638	0.0432995755958813	0.0134629382701735	0.0105736838222638	0.0183044048181641	0.00871485606133618	0.00668495495753158	0.0408326383097025	0.0141090928181436	0.0213870249502561	0.0178742689327908	0.0105365523364373	0.0306043954529037	0.0313311836660096	0.0271393808920421	0.0141306459743284	0.0251869100030584	0.0112226231759411	0.0181573223033653	0.0117833767876427	0.00196828294286002	0.00514981636732761	0.009235064500198	0.00411324233865187	0.00354091534794826	0.000756258114400971	3.84018028065167e-05	0.000114911594285825	0.00143667635355122	0.00276048176309461	0	0.000293161483998297	0.000666976838009221	0.000516314602691219	0.000314951554419943	0.00380561907980131	0.00147174070080638	0.00570977788676374	0.00053433414709976	0.000275928367446739	0.0015107538760243	0.000555207351438851	0.00124319839614321	0.000475020241973005	0.000684800868966649	0.00181901895900639	0.00146907230929995	0.00150537510544171	0.000424907394494144	0.00188781911615279	0.00105413786428211	0.00332471767877338	0.00187666358050254	0.00314444303055339	0.0023308952464876	0.000321121382781704	0.000166554626434965	0.00192833425810094	0.00452248508174987	0.00033214179648986	0.00311254682903086	0.00116799597586453	0.00227377301769258	0.00188785164842224
Bacteroidetes	8.21459558130467	4.44760262802293	2.12373480265916	1.00968860180446	1.0416403944614	1.27011286792399	1.41740765589122	16.0642883890492	5.12392873065936	0.33789441592714	5.59223282353292	8.91022877614425	5.12301698344706	5.41193778898697	7.28310230080306	10.3960396039604	14.6318289786223	35.9305182278356	4.62815756933404	13.0742049469965	51.7429193899782	2.95454545454545	34.1074924363766	10.8025319915484	9.63429131617941	9.70788308644114	25.6715791779407	18.2048359533201	18.2824220365711	6.94814260424013	17.4321904746042	27.706202130201	11.6738120479192	1.56733345314564	3.01671939622265	19.5665003379156	10.2606936702035	2.80599832594534	5.81732018011505	25.1347250905545	11.992844474866	3.28182202725655	13.5205449135663	15.5040447174899	17.8119354567507	39.9501522894765	25.2545524047818	22.001325598488	19.0686332545323	49.0346933794092	6.41175119227135	21.0293554052601	16.4625788175089	14.2030649162988	34.3722528461703	21.9308593619487	18.3420512710641	30.1311684963195	17.0958898388511	81.1661357856958	76.8156971785959	44.502308001633	79.115263286905	76.1303910080659	91.637543751102	98.6430519674655	99.053811173145	12.3648827879429	83.3380289799688	97.604269142845	92.8531524397601	91.1941966699387	97.3979723570468	96.4352074291041	86.196741207628	84.3302854090916	64.8547494349549	97.0745458685221	96.1644068993968	91.655492779841	91.8725701967161	71.1536095938275	93.2111490571321	93.0512342758129	91.3851777802709	88.7115749217237	88.0819234731875	95.7786602648246	83.075188692245	92.7878248594634	91.8014707493475	85.9186842697939	80.5449438519798	80.3739194486454	78.9741462422253	96.4786919936922	78.9104616746129	72.6510765544712	96.2775732592814	74.1220628840121	82.4521452582089	91.6363933774974	87.7558574311915
Caldiserica	0.000761076888670844	0.00291225944736965	0.000299454991914715	0.000970328112719285	0	0.00363517394307318	0.00188987687452162	0.00129250315855459	0.00330256444128866	0.00187611825614808	0.00436789152288136	0	0	0	0.000826310676288071	0	0	0.00164883180266781	0	0	0	0	0	0.0025456577108642	0.00892064010757353	0.000876663834903327	7.33405239642607e-05	0.00497465850432503	0.00314417847224368	0.00449776191367176	0.000832785083153591	0.00119563125536453	0.00467244596316244	0.000171393621121179	0.011053429787151	0.00282226342502834	0.00982267031663547	0.00852798258889692	0.00880958046416499	0.00290411320795371	0.0044380642529287	0.00283430279372073	0.00427865345366022	0.00615849134069073	0.00333215084698148	0.00286005804884083	0.00359095542581781	0.00492177656446871	0.001145733479478	0.000768785760550143	0.000172730366171103	0.000827145823051451	0.0029372984686884	0.000916870976082504	0.00122284436316304	0.0041121485719279	0.00142833385875615	0.00181573223033653	0.000894940009188051	6.24851727892069e-05	0.00045756208141761	0.00260691804186053	0.000297791300535882	0.000184867066358744	6.28034420263782e-05	0	1.68987638655625e-06	6.28284119628815e-05	0.000943724239111729	0	8.258069971783e-06	6.220013553888e-05	0.000110201535752276	3.35054845127599e-06	0.000269779934767212	0.00046689704991099	0.00153890739013532	4.30506184867105e-05	3.22723236779812e-06	0.000136025732132456	3.08448528577139e-05	0.000130862989067706	5.07303171039132e-05	2.99600380172909e-05	0.00015471037537941	0.000275451057993741	0.00021817030513648	1.08027303684952e-05	0.000136910272979416	8.01144776854405e-05	2.89735745426874e-05	0.000116435331637019	0.000479741308286847	7.04749962543845e-05	9.17489665090583e-06	0	4.80481957998574e-05	0.00013301426711029	1.0925716989798e-05	0.000171858413872869	7.78663983909687e-05	4.47765099545608e-05	0.000161690997665794
Calditrichaeota	0.0511092402930497	0.00291225944736965	0.00209618494340301	0.000945447904700842	0.00504426341143535	0.00464964108997732	0.00283481531178244	0.00254910345159378	0.00660512888257732	0.00173816838437249	0.0025035475801881	0.00148652465401139	0.0215252814430549	0	0.041787711343711	0	0.0158353127474268	0.00659532721067124	0	0	0	0	0	0.0160778381738791	0.0161041029310406	0.00400760610241521	0.0026647057040348	0.0136803108868938	0.0157208923612184	0.0151124800299371	0.00399736839913723	0.008967234415234	0.0177552946600173	0.000795756098062615	0.0109992463078023	0.00952513905947064	0.0355648408016112	0.00765181999414723	0.0202529530258638	0.0132090310426282	0.018378137867897	0.00667778915793293	0.0137703789313202	0.00791195068074851	0.00579281608782934	0.00461744311499604	0.0174335094059865	0.0108279084418312	0.00935682341573703	0.00499710744357593	0.00777286647769965	0.0124071873457718	0.0182765238051723	0.0108190775177735	0.00747293777488522	0.0192756964309121	0.00540726389386255	0.0107128201589855	0.00656289340071237	0.000598816239229899	0.00116184881458001	0.00415883699346665	0.00165646410923084	0.00140783381303967	0.000429156853846918	0.000341098366104942	1.85886402521187e-05	0.00118955126649722	0.00110277888615303	0	9.9096839661396e-05	0.000246886691831247	0.000228566148226943	9.54906308613657e-05	0.00112503972796539	0.00172548909749714	0.00285488894338187	0.000222850260401795	3.06587074940821e-05	0.000552785422070192	0.00048195082590178	0.000458020461736971	7.84013991605931e-05	0.000154080195517496	0.000942326831856404	0.00176747762212651	0.000445067422478418	0.00253864163659637	0.000680694737489207	0.000198177918485037	0.000593958278125093	0.000438344777927601	0.00109723012093328	0.000955327727003878	0.000171264737483575	3.19650293158013e-05	0.000826428967757546	0.00128113741479911	0.000102701739704101	0.000757450046328573	0.000661864386323234	0.000700042509289597	0.000978886039922644
Candidatus_Cloacimonetes	0.020958886626474	0.00116490377894786	0.00189654828212653	0.00159233331318036	0.00554868975257888	0.00380425180089053	0.00377975374904325	0.00369799514808675	0.0115589755445103	0.000910469153718922	0.0044211584926726	0.0386496410042961	0.0172202251544439	0	0.0170574132462323	0	0	0.00329766360533562	0.0176647235470765	0	0	0	0	0.00234468473369071	0.0082163790464493	0.00379887661791442	0.00122234206607101	0.00446256130535039	0.0055836272869155	0.0126836885965544	0.00303133770267907	0.00908219895901905	0.00557232444495668	0.000746786492027993	0.0079649714642706	0.00519094879960569	0.0130065703503035	0.00537379724779806	0.00354199626909726	0.00412196713386978	0.00500704684945802	0.00201836714098294	0.00467209285169794	0.00423396279672488	0.00579281608782934	0.00186076065828199	0.0027221758873135	0.0111560268794624	0.00954777899565003	0.024408947897467	0.00241822512639545	0.00827145823051451	0.0192556232947351	0.0144865614221036	0.00964688330939729	0.0326401792896777	0.0137732193522914	0.0148890042887595	0.00581711005972233	0.000864378223584029	0.00113493339802603	0.000473985098520096	0.000136487679412279	0.000195532474033287	0.000102055593292865	1.58125070379775e-05	2.19683930252312e-05	0.000104714019938136	0.000579665824772747	0	0.000536774548165895	3.06216051883717e-05	8.9793843946299e-05	6.70109690255198e-06	0.000470679886189604	0.000639445959660704	0.00294118281572591	0.000220317871079048	1.61361618389906e-05	0.000300993109399477	0.000212058363396783	6.54314945338529e-05	0.00011068432822672	2.85333695402771e-05	0.000665723433450793	0.000266269356060617	0.000375252924834745	0.000388898293265826	0.000802178500837139	4.21655145712844e-05	0.000296979139062546	0.000335607720600819	0.000923858261997938	0.000409799052294013	0.000103982162043599	7.7389018343519e-05	0.000233834552892639	0.000469050310336287	0.000187922332224526	0.000439193724341778	7.78663983909687e-05	0.000510015369482436	0.000983256066886584
Chlamydiae	0.00380538444335422	0.0139788453473743	0.00878401309616498	0.00574732805226038	0.0110973795051578	0.0169923247106444	0.0141740765589122	0.00619324430140743	0.00330256444128866	0.0153952056901563	0.0025035475801881	0.00594609861604555	0.0236778095873604	0.0105086170659941	0.00389546461678662	0.0396039603960396	0.0158353127474268	0.00494649540800343	0.0176647235470765	0	0	0	0.0177967609894999	0.0101826308434568	0.0358703633799272	0.00634537632882408	0.00532941140806961	0.0294090105696862	0.0229850288315745	0.0190705105139682	0.00839447363818819	0.00457558884264504	0.00609148510753029	0.00143236097651271	0.035652729411497	0.00776122441882792	0.0162582129378794	0.0464950283613832	0.0602139365746535	0.0264180620852563	0.0152487335869858	0.011466043120052	0.0372292030393193	0.0222389965080499	0.02450412469011	0.00909705210715638	0.028032619775739	0.00656236875262495	0.0166131354524311	0.00730346472522636	0.0110547434349506	0.016542916461029	0.0156655918330048	0.00788509039430953	0.0141306459743284	0.0149065385732386	0.00826393161137484	0.0154337239578605	0.017600486847365	0.00217135975442494	0.00314013193129732	0.00691100853326076	0.00103606556644775	0.000487053617137462	0.00177943085741405	0.000124241126726966	6.42153026891375e-05	0.00269743315360638	0.00312100562972156	0	0.00239071125683118	0.000560758145012056	0.000448969219731495	0.000338405393578875	0.000878219787646455	0.00202998717352604	0.00545089626973163	0.000709069010369349	0.00039533596505527	0.000940603466873364	0.000751843288406777	0.00209380782508329	0.000652576351836702	0.00183469566143981	0.00183777173177965	0.00119821210227277	0.00168427475565362	0.00252063708598221	0.0013826009257217	0.000567126170983776	0.000970614747180029	0.0010205214361127	0.00503253382306846	0.00116675271576703	0.000908314768439677	3.19650293158013e-05	0.00126847236911623	0.00100110737877745	0.000509138411724588	0.000693798781931214	0.00101226317908259	5.35133899456946e-05	0.00169120043504492
Chlorobi	0.0440839151668573	0.00931923023158287	0.00868419476552674	0.00689181762110877	0.043380665338344	0.0332237990611107	0.0245683993687811	0.0127096143924535	0.0181641044270876	0.0141260668698208	0.0310546433882906	0.0386496410042961	0.00861011257722195	0.0105086170659941	0.0465094866367857	0.0594059405940594	0.0475059382422803	0.0544114494880377	0.035329447094153	0	0.108932461873638	0	0.0177967609894999	0.0706420014764815	0.116296976560314	0.0847024248104214	0.0183351309910652	0.126195381175892	0.0999089814542259	0.189355776565581	0.03247861824299	0.0186242560931783	0.0490087665469482	0.0132340360308567	0.0800289989981475	0.0662727929270047	0.166036999628093	0.0762845565828724	0.179824425969553	0.0561618021989758	0.0997426491715898	0.0337539696343105	0.0810485159957705	0.0498239056382271	0.0615678948803809	0.0359747060601184	0.0977087387637846	0.131903611927761	0.176442955839613	0.0795693262169398	0.0544100653438975	0.247592316366734	0.282959752483649	0.239853447343183	0.0898111248945297	0.31997656075314	0.0602960936089202	0.0947812224235667	0.0890465309142111	0.0221249582651117	0.0226224076136177	0.0204348736829712	0.00663826440777903	0.00869230725475251	0.00994126151075878	0.00930453092706131	0.00126064778437096	0.0256968204928185	0.0229886983190363	0	0.0130931699402619	0.00596547146075966	0.00682229137073813	0.00326846001421973	0.00623937849131828	0.0117739256064511	0.0448368578387556	0.00867343343041079	0.00320948258977523	0.0185747478473638	0.0193011666757145	0.0152455382263877	0.00412529714995003	0.0146461785850242	0.0182980180335102	0.0246987782001055	0.0166333040636052	0.0164921683625693	0.0116258033210267	0.00736631539560339	0.0172103032783563	0.0128541181558691	0.0241129381338434	0.0191404869456815	0.00522357449324905	0.00704913014911619	0.0157405889440333	0.0230674742172845	0.00750378242859328	0.0139332617765819	0.0103951641851943	0.00311797404683588	0.0197743720118302
