Group	V2
Y1	Yano_BR	Non-westernized
Y2	Yano_BR	Non-westernized
Y3	Yano_BR	Non-westernized
Y4	Yano_BR	Non-westernized
Y5	Yano_BR	Non-westernized
Y6	Yano_BR	Non-westernized
Y7	Yano_BR	Non-westernized
Y8	Yano_BR	Non-westernized
Y9	Yano_BR	Non-westernized
Y10	Yano_BR	Non-westernized
Y11	Yano_BR	Non-westernized
Y12	Yano_BR	Non-westernized
Y13	Yano_BR	Non-westernized
Y14	Yano_BR	Non-westernized
Y15	Yano_BR	Non-westernized
SRR1646026	Yano_VE	Non-westernized
SRR1646027	Yano_VE	Non-westernized
SRR1646028	Yano_VE	Non-westernized
SRR1646029	Yano_VE	Non-westernized
SRR1646034	Yano_VE	Non-westernized
SRR1646035	Yano_VE	Non-westernized
SRR1646036	Yano_VE	Non-westernized
SRR1646037	Yano_VE	Non-westernized
SM01	Matses	Non-westernized
SM02	Matses	Non-westernized
SM03	Matses	Non-westernized
SM05	Matses	Non-westernized
SM11	Matses	Non-westernized
SM18	Matses	Non-westernized
SM20	Matses	Non-westernized
SM23	Matses	Non-westernized
SM24	Matses	Non-westernized
SM25	Matses	Non-westernized
SM28	Matses	Non-westernized
SM29	Matses	Non-westernized
SM30	Matses	Non-westernized
SM31	Matses	Non-westernized
SM32	Matses	Non-westernized
SM33	Matses	Non-westernized
SM34	Matses	Non-westernized
SM37	Matses	Non-westernized
SM39	Matses	Non-westernized
SM40	Matses	Non-westernized
SM41	Matses	Non-westernized
SM42	Matses	Non-westernized
SM43	Matses	Non-westernized
SM44	Matses	Non-westernized
HC02	Tunapuco	Non-westernized
HC07	Tunapuco	Non-westernized
HC09	Tunapuco	Non-westernized
HC11	Tunapuco	Non-westernized
HC12	Tunapuco	Non-westernized
HC53	Tunapuco	Non-westernized
HC61	Tunapuco	Non-westernized
HC64	Tunapuco	Non-westernized
HC67	Tunapuco	Non-westernized
HC70	Tunapuco	Non-westernized
HC72	Tunapuco	Non-westernized
HC74	Tunapuco	Non-westernized
SRS012849_HMP	US	Westernized
SRS012969_HMP	US	Westernized
SRS013951_HMP	US	Westernized
SRS014287_HMP	US	Westernized
SRS014459_HMP	US	Westernized
SRS016095_HMP	US	Westernized
SRS016438_HMP	US	Westernized
SRS017247_HMP	US	Westernized
SRS017916_HMP	US	Westernized
SRS022071_HMP	US	Westernized
SRS023346_HMP	US	Westernized
SRS043667_HMP	US	Westernized
SRS045528_HMP	US	Westernized
SRS045645_HMP	US	Westernized
SRS045739_HMP	US	Westernized
SRS047014_HMP	US	Westernized
SRS047044_HMP	US	Westernized
SRS049959_HMP	US	Westernized
SRS053649_HMP	US	Westernized
SRS074964_HMP	US	Westernized
SRS075078_HMP	US	Westernized
SRS075341_HMP	US	Westernized
SRS075963_HMP	US	Westernized
SRS077335_HMP	US	Westernized
SRS077753_HMP	US	Westernized
SRS077849_HMP	US	Westernized
SRS078242_HMP	US	Westernized
SRS078419_HMP	US	Westernized
SRS078665_HMP	US	Westernized
SRS098571_HMP	US	Westernized
SRS098717_HMP	US	Westernized
SRS101376_HMP	US	Westernized
SRS104197_HMP	US	Westernized
SRS104400_HMP	US	Westernized
SRS140492_HMP	US	Westernized
SRS140513_HMP	US	Westernized
SRS142712_HMP	US	Westernized
SRS142890_HMP	US	Westernized
SRS143991_HMP	US	Westernized
SRS145497_HMP	US	Westernized
SRS146813_HMP	US	Westernized
SRS147445_HMP	US	Westernized
SRS147919_HMP	US	Westernized
SRS148424_HMP	US	Westernized
